loteId,notificacionId,resultado,fechaResultado,observacion
LOTE-CORREO-20260526-184915-001,NOT-0004-01,POSITIVA,2026-05-26T18:49:15.7255709,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-184915-001,NOT-0030-03,NEGATIVA,2026-05-26T18:50:15.7255709,Respuesta demo NEGATIVA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-184915-001,NOT-0037-01,VENCIDA,2026-05-26T18:51:15.7255709,Respuesta demo VENCIDA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-184915-001,NOT-0038-01,POSITIVA,2026-05-26T18:52:15.7255709,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-184915-001,NOT-0039-01,NEGATIVA,2026-05-26T18:53:15.7255709,Respuesta demo NEGATIVA para FALLO_CONDENATORIO
LOTE-CORREO-20260526-184915-001,NOT-0040-01,VENCIDA,2026-05-26T18:54:15.7255709,Respuesta demo VENCIDA para FALLO_ABSOLUTORIO
LOTE-CORREO-20260526-184915-001,NOT-0041-01,POSITIVA,2026-05-26T18:55:15.7255709,Respuesta demo POSITIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-184915-001,NOT-0068-01,NEGATIVA,2026-05-26T18:56:15.7255709,Respuesta demo NEGATIVA para ACTA_INFRACCION
LOTE-CORREO-20260526-184915-001,NOT-0069-01,VENCIDA,2026-05-26T18:57:15.7255709,Respuesta demo VENCIDA para ACTA_INFRACCION
LOTE-CORREO-20260526-184915-001,NOT-0070-01,POSITIVA,2026-05-26T18:58:15.7255709,Respuesta demo POSITIVA para FALLO_ABSOLUTORIO
LOTE-CORREO-20260526-184915-001,NOT-0071-01,NEGATIVA,2026-05-26T18:59:15.7255709,Respuesta demo NEGATIVA para ACTA_INFRACCION
